Kommun,Kod,Län,coatOfArms
Nyköping,0480,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/3/3d/Nyk%C3%B6ping_vapen.svg
Oxelösund,0481,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/2/20/Oxel%C3%B6sund_vapen.svg
Flen,0482,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/e/eb/Flen_vapen.svg
Katrineholm,0483,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/d/d5/Katrineholm_vapen.svg
Eskilstuna,0484,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/b/b3/Eskilstuna_vapen%2C_Nordisk_familjebok.png
Strängnäs,0486,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/3/3d/Str%C3%A4ngn%C3%A4s_vapen.svg
Trosa,0488,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/a/a5/Trosa_vapen.svg
Ödeshög,0509,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/e/e2/%C3%96desh%C3%B6g_vapen.svg
Ydre,0512,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/e/e6/Ydre_vapen.svg
Kinda,0513,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/d/da/Kinda_vapen.svg
Boxholm,0560,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/4/47/Boxholm_vapen.svg
Åtvidaberg,0561,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/c/c3/%C3%85tvidaberg_vapen.svg
Finspång,0562,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/e/ef/Finsp%C3%A5ng_vapen.svg
Valdemarsvik,0563,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/6/6d/Valdemarsvik_vapen.svg
Linköping,0580,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/2/29/Link%C3%B6ping_vapen.svg
Norrköping,0581,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/a/ad/Norrk%C3%B6ping_vapen.svg
Söderköping,0582,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/b/b6/S%C3%B6derk%C3%B6ping_vapen.svg
Motala,0583,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/8/8f/Motala_vapen.svg
Vadstena,0584,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/5/57/Vadstena_kommunvapen_-_Riksarkivet_Sverige.png
Mjölby,0586,Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/f/fa/Mj%C3%B6lby_vapen.svg
Aneby,0604,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/4/45/Aneby_vapen.svg
Gnosjö,0617,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/5/50/Gnosj%C3%B6_vapen.svg
Mullsjö,0642,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/7/76/Mullsj%C3%B6_vapen.svg
Habo,0643,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/1/17/Habo_vapen.svg
Gislaved,0662,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/e/eb/Gislaved_vapen.svg
Vaggeryd,0665,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/f/f9/Vaggeryd_vapen.svg
Jönköping,0680,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/3/3c/J%C3%B6nk%C3%B6ping_vapen.svg
Nässjö,0682,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/3/37/N%C3%A4ssj%C3%B6_vapen.svg
Värnamo,0683,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/2/2c/V%C3%A4rnamo_vapen.svg
Sävsjö,0684,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/5/56/S%C3%A4vsj%C3%B6_vapen.svg
Vetlanda,0685,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/8/84/Vetlanda_vapen.svg
Eksjö,0686,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/9/97/Eksj%C3%B6_vapen.svg
Tranås,0687,Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/4/4d/Tran%C3%A5s_vapen.svg
Uppvidinge,0760,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/1/16/Uppvidinge_vapen.svg
Lessebo,0761,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/4/48/Lessebo_vapen.svg
Tingsryd,0763,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/9/96/Tingsryd_vapen.svg
Alvesta,0764,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/5/56/Alvesta_vapen.svg
Älmhult,0765,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/d/d1/%C3%84lmhult_vapen.svg
Markaryd,0767,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/b/b6/Markaryd_vapen.svg
Växjö,0780,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/4/4c/V%C3%A4xj%C3%B6_vapen.svg
Ljungby,0781,Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/3/39/Ljungby_vapen.svg
Högsby,0821,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/a/a5/H%C3%B6gsby_vapen.svg
Torsås,0834,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/3/35/Tors%C3%A5s_vapen.svg
Mörbylånga,0840,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/f/ff/M%C3%B6rbyl%C3%A5nga_vapen.svg
Hultsfred,0860,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/1/1b/Hultsfred_vapen.svg
Mönsterås,0861,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/0/02/M%C3%B6nster%C3%A5s_vapen.svg
Emmaboda,0862,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/4/4c/Emmaboda_vapen.svg
Kalmar,0880,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/c/ce/Kalmar_l%C3%A4n_vapen.svg
Nybro,0881,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/5/5f/Nybro_vapen.svg
Oskarshamn,0882,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/5/50/Oskarshamn_kommunvapen_%E2%80%93_Riksarkivet_Sverige.svg
Västervik,0883,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/c/cf/V%C3%A4stervik_vapen.svg
Vimmerby,0884,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/5/5c/Vimmerby_vapen.svg
Borgholm,0885,Kalmar län,https://upload.wikimedia.org/wikipedia/commons/7/7d/Borgholm_vapen.svg
Gotland,0980,Gotlands län,https://upload.wikimedia.org/wikipedia/commons/b/ba/Gotland_kommunvapen.svg
Olofström,1060,Blekinge län,https://upload.wikimedia.org/wikipedia/commons/f/f7/Olofstr%C3%B6m_vapen.svg
Karlskrona,1080,Blekinge län,https://upload.wikimedia.org/wikipedia/commons/b/b4/Karlskrona_vapen.svg
Ronneby,1081,Blekinge län,https://upload.wikimedia.org/wikipedia/commons/5/51/Ronneby_vapen.svg
Karlshamn,1082,Blekinge län,https://upload.wikimedia.org/wikipedia/commons/6/6d/Karlshamn_vapen.svg
Sölvesborg,1083,Blekinge län,https://upload.wikimedia.org/wikipedia/commons/d/dd/S%C3%B6lvesborg_vapen2.svg
Svalöv,1214,Skåne län,https://upload.wikimedia.org/wikipedia/commons/6/64/Sval%C3%B6v_vapen.svg
Staffanstorp,1230,Skåne län,https://upload.wikimedia.org/wikipedia/commons/e/e0/Staffanstorp_vapen.svg
Burlöv,1231,Skåne län,https://upload.wikimedia.org/wikipedia/commons/c/c5/Burl%C3%B6v_vapen.svg
Vellinge,1233,Skåne län,https://upload.wikimedia.org/wikipedia/commons/d/da/Vellinge_vapen.svg
Östra Göinge,1256,Skåne län,https://upload.wikimedia.org/wikipedia/commons/6/67/%C3%96stra_G%C3%B6inge_vapen.svg
Örkelljunga,1257,Skåne län,https://upload.wikimedia.org/wikipedia/commons/7/71/%C3%96rkelljunga_vapen.svg
Bjuv,1260,Skåne län,https://upload.wikimedia.org/wikipedia/commons/8/8a/Bjuv_vapen.svg
Kävlinge,1261,Skåne län,https://upload.wikimedia.org/wikipedia/commons/e/e8/K%C3%A4vlinge_vapen.svg
Lomma,1262,Skåne län,https://upload.wikimedia.org/wikipedia/commons/3/3b/Lomma_vapen.svg
Svedala,1263,Skåne län,https://upload.wikimedia.org/wikipedia/commons/1/1d/Svedala_vapen.svg
Skurup,1264,Skåne län,https://upload.wikimedia.org/wikipedia/commons/6/67/Skurup_vapen.svg
Sjöbo,1265,Skåne län,https://upload.wikimedia.org/wikipedia/commons/2/21/Sj%C3%B6bo_vapen.svg
Hörby,1266,Skåne län,https://upload.wikimedia.org/wikipedia/commons/2/26/H%C3%B6rby_vapen.svg
Höör,1267,Skåne län,https://upload.wikimedia.org/wikipedia/commons/4/43/H%C3%B6%C3%B6r_vapen.svg
Tomelilla,1270,Skåne län,https://upload.wikimedia.org/wikipedia/commons/f/f0/Tomelilla_vapen.svg
Bromölla,1272,Skåne län,https://upload.wikimedia.org/wikipedia/commons/c/c5/Brom%C3%B6lla_vapen.svg
Osby,1273,Skåne län,https://upload.wikimedia.org/wikipedia/commons/4/4c/Osby_vapen.svg
Perstorp,1275,Skåne län,https://upload.wikimedia.org/wikipedia/commons/b/b3/Perstorp_vapen.svg
Klippan,1276,Skåne län,https://upload.wikimedia.org/wikipedia/commons/1/1d/Klippan_vapen.svg
Åstorp,1277,Skåne län,https://upload.wikimedia.org/wikipedia/commons/3/38/%C3%85storp_vapen.svg
Båstad,1278,Skåne län,https://upload.wikimedia.org/wikipedia/commons/8/87/B%C3%A5stad_vapen.svg
Malmö,1280,Skåne län,https://upload.wikimedia.org/wikipedia/commons/3/3e/Malm%C3%B6_kommunvapen_-_Riksarkivet_Sverige.png
Lund,1281,Skåne län,
Landskrona,1282,Skåne län,https://upload.wikimedia.org/wikipedia/commons/e/ed/Landskrona_fulla_vapen.svg
Helsingborg,1283,Skåne län,https://upload.wikimedia.org/wikipedia/commons/f/f2/Coat_of_arms_of_Helsingborg%2C_Sweden.svg
Höganäs,1284,Skåne län,https://upload.wikimedia.org/wikipedia/commons/f/f4/H%C3%B6gan%C3%A4s_vapen.svg
Eslöv,1285,Skåne län,https://upload.wikimedia.org/wikipedia/commons/c/ca/Esl%C3%B6v_vapen.svg
Ystad,1286,Skåne län,https://upload.wikimedia.org/wikipedia/commons/9/90/Ystad_vapen.svg
Trelleborg,1287,Skåne län,https://upload.wikimedia.org/wikipedia/commons/9/95/Trelleborg_vapen.svg
Kristianstad,1290,Skåne län,https://upload.wikimedia.org/wikipedia/commons/4/4c/Kristianstad_kommunvapen_-_Riksarkivet_Sverige.png
Simrishamn,1291,Skåne län,https://upload.wikimedia.org/wikipedia/commons/5/59/Simrishamn_vapen.svg
Ängelholm,1292,Skåne län,https://upload.wikimedia.org/wikipedia/commons/1/1d/%C3%84ngelholm_vapen.svg
Hässleholm,1293,Skåne län,https://upload.wikimedia.org/wikipedia/commons/a/a0/H%C3%A4ssleholm_vapen.svg
Hylte,1315,Hallands län,https://upload.wikimedia.org/wikipedia/commons/d/da/Hylte_vapen.svg
Halmstad,1380,Hallands län,https://upload.wikimedia.org/wikipedia/commons/f/f7/Halmstad_vapen.svg
Laholm,1381,Hallands län,https://upload.wikimedia.org/wikipedia/commons/d/d8/Laholm_vapen.svg
Falkenberg,1382,Hallands län,https://upload.wikimedia.org/wikipedia/commons/d/da/Falkenberg_kommunvapen_-_Riksarkivet_Sverige-vector.svg
Varberg,1383,Hallands län,https://upload.wikimedia.org/wikipedia/commons/8/8f/Varberg_vapen.svg
Kungsbacka,1384,Hallands län,https://upload.wikimedia.org/wikipedia/commons/6/67/Kungsbacka_kommunvapen_-_Riksarkivet_Sverige.png
Härryda,1401,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/8/88/H%C3%A4rryda_vapen.svg
Partille,1402,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/8/84/Partille_vapen.svg
Öckerö,1407,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/2/2d/%C3%96cker%C3%B6_vapen.svg
Stenungsund,1415,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/e/ea/Stenungsund_vapen.svg
Tjörn,1419,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/f/f2/Tj%C3%B6rn_vapen.svg
Orust,1421,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/5/5c/Orust_vapen.svg
Sotenäs,1427,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/0/08/Soten%C3%A4s_vapen.svg
Munkedal,1430,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/a/ae/Munkedal_vapen.svg
Tanum,1435,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/7/70/Tanum_vapen.svg
Dals-Ed,1438,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/4/49/Dals-Ed_vapen.svg
Färgelanda,1439,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/9/91/F%C3%A4rgelanda_vapen.svg
Ale,1440,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/1/15/Ale_vapen.svg
Lerum,1441,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/f/fa/Lerum_vapen.svg
Vårgårda,1442,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/c/c4/V%C3%A5rg%C3%A5rda_vapen.svg
Bollebygd,1443,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/a/a7/Bollebygd_vapen.svg
Grästorp,1444,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/9/9e/Gr%C3%A4storp_vapen.svg
Essunga,1445,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/5/56/Essunga_vapen.svg
Karlsborg,1446,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/9/99/Karlsborg_vapen.svg
Gullspång,1447,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/7/77/Gullsp%C3%A5ng_vapen2.svg
Tranemo,1452,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/5/5d/Tranemo_vapen.svg
Bengtsfors,1460,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/e/e7/Bengtsfors_vapen.svg
Mellerud,1461,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/b/bc/Mellerud_vapen.svg
Lilla Edet,1462,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/e/e7/Lilla_Edet_vapen.svg
Mark,1463,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/8/8f/Mark_vapen.svg
Svenljunga,1465,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/0/03/Svenljunga_vapen.svg
Herrljunga,1466,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/3/31/Herrljunga_vapen.svg
Vara,1470,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/6/6a/Vara_vapen.svg
Götene,1471,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/2/2d/G%C3%B6tene_vapen.svg
Tibro,1472,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/a/a4/Tibro_vapen.svg
Töreboda,1473,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/c/c8/T%C3%B6reboda_vapen.svg
Göteborg,1480,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/7/7d/G%C3%B6teborg_kommunvapen_-_Riksarkivet_Sverige.svg
Mölndal,1481,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/7/7f/M%C3%B6lndal_vapen.svg
Kungälv,1482,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/6/69/Kung%C3%A4lv_vapen.svg
Lysekil,1484,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/8/8b/Lysekil_vapen.svg
Uddevalla,1485,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/1/10/Uddevalla_vapen.svg
Strömstad,1486,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/d/db/Str%C3%B6mstad_vapen.svg
Vänersborg,1487,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/d/d5/V%C3%A4nersborg-vapen.svg
Trollhättan,1488,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/f/fa/Trollh%C3%A4ttan_kommunvapen_-_Riksarkivet_Sverige.png
Alingsås,1489,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/9/91/Alings%C3%A5s_vapen.svg
Borås,1490,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/c/c6/Bor%C3%A5s_kommunvapen_-_Riksarkivet_Sverige-vector.svg
Ulricehamn,1491,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/3/39/Ulricehamn_vapen.svg
Åmål,1492,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/c/c9/%C3%85m%C3%A5l_vapen.svg
Mariestad,1493,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/b/bb/Mariestad_vapen.svg
Lidköping,1494,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/1/1c/Lidk%C3%B6ping_kommunvapen_-_Riksarkivet_Sverige.png
Skara,1495,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/b/b8/Skara_vapen.svg
Skövde,1496,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/1/14/Skoevde_vapen.svg
Hjo,1497,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/7/79/Coat_of_arms_of_Hj%C3%B8rring.svg
Tidaholm,1498,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/3/37/Tidaholm_vapen.svg
Falköping,1499,Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/e/e7/Falk%C3%B6ping_vapen.svg
Kil,1715,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/a/a9/Kil_municipal_arms.svg
Eda,1730,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/3/38/Eda_vapen.svg
Torsby,1737,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/2/27/Torsby_vapen.svg
Storfors,1760,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/1/17/Storfors_vapen.svg
Hammarö,1761,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/0/0f/Hammar%C3%B6_vapen.svg
Munkfors,1762,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/6/63/Munkfors_vapen.svg
Forshaga,1763,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/7/7a/Forshaga_vapen.svg
Grums,1764,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/0/03/Grums_vapen.svg
Årjäng,1765,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/1/10/%C3%85rj%C3%A4ng_vapen.svg
Sunne,1766,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/7/70/Sunne_vapen.svg
Karlstad,1780,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/f/f5/Karlstad_vapen.svg
Kristinehamn,1781,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/6/6b/Kristinehamn-vapen.svg
Filipstad,1782,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/b/b3/Filipstad_vapen.svg
Hagfors,1783,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/d/da/Hagfors_vapen.svg
Arvika,1784,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/a/ae/Arvika_vapen.svg
Säffle,1785,Värmlands län,https://upload.wikimedia.org/wikipedia/commons/1/1a/S%C3%A4ffle_vapen.svg
Lekeberg,1814,Örebro län,https://upload.wikimedia.org/wikipedia/commons/3/3e/Lekeberg_vapen.svg
Laxå,1860,Örebro län,https://upload.wikimedia.org/wikipedia/commons/5/51/Lax%C3%A5_vapen.svg
Hallsberg,1861,Örebro län,https://upload.wikimedia.org/wikipedia/commons/d/d0/Hallsberg_vapen.svg
Degerfors,1862,Örebro län,https://upload.wikimedia.org/wikipedia/commons/6/65/Degerfors_vapen.svg
Hällefors,1863,Örebro län,https://upload.wikimedia.org/wikipedia/commons/f/fe/H%C3%A4llefors_vapen.svg
Ljusnarsberg,1864,Örebro län,https://upload.wikimedia.org/wikipedia/commons/d/d7/Ljusnarsberg_vapen.svg
Örebro,1880,Örebro län,https://upload.wikimedia.org/wikipedia/commons/e/e5/%C3%96rebro_vapen.svg
Kumla,1881,Örebro län,https://upload.wikimedia.org/wikipedia/commons/0/05/Kumla_vapen.svg
Askersund,1882,Örebro län,https://upload.wikimedia.org/wikipedia/commons/0/0e/Askersund_vapen.svg
Karlskoga,1883,Örebro län,https://upload.wikimedia.org/wikipedia/commons/b/b0/Karlskoga_vapen.svg
Nora,1884,Örebro län,https://upload.wikimedia.org/wikipedia/commons/0/08/Nora_vapen.svg
Lindesberg,1885,Örebro län,https://upload.wikimedia.org/wikipedia/commons/f/fa/Lindesberg_vapen.svg
Skinnskatteberg,1904,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/d/de/Skinnskatteberg_vapen.svg
Surahammar,1907,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/e/e1/Surahammar_vapen.svg
Kungsör,1960,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/a/a4/Kungs%C3%B6r_vapen.svg
Hallstahammar,1961,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/0/0e/Hallstahammar_vapen.svg
Norberg,1962,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/0/09/Norberg_vapen.svg
Västerås,1980,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/b/b4/V%C3%A4ster%C3%A5s_vapen.svg
Sala,1981,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/9/97/Sala_vapen.svg
Fagersta,1982,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/f/f6/Fagersta_vapen.svg
Köping,1983,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/e/e1/K%C3%B6pings_vapen.svg
Arboga,1984,Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/6/65/Arboga_vapen.svg
Vansbro,2021,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/9/96/Vansbro_vapen.svg
Malung-Sälen,2023,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/e/ee/Malung_vapen.svg
Gagnef,2026,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/1/16/Gagnef_vapen.svg
Leksand,2029,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/9/91/Leksand_kommunvapen_-_Riksarkivet_Sverige.png
Rättvik,2031,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/c/c1/R%C3%A4ttvik_vapen.svg
Orsa,2034,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/6/6a/Orsa_vapen2.svg
Älvdalen,2039,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/f/ff/%C3%84lvdalen_vapen.svg
Smedjebacken,2061,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/7/75/Smedjebacken_vapen.svg
Mora,2062,Dalarnas län,
Falun,2080,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/e/e0/Falun_vapen.svg
Borlänge,2081,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/1/1d/Borl%C3%A4nge_vapen.svg
Säter,2082,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/e/ef/S%C3%A4ter_City_Arms.svg
